By B. Margon
 SS433 radial velocity database
 JD is measured in days
 columns Red and Blue are (lambda_observed-lambda_intrinsic)/lambda_intrinsic
 |z|>1.0 indicates absent value
  N      JD    Obs   Red    Blue
    1  3689.0   0   0.135  -0.060
    2  3690.0   0   9.999  -0.055
    3  3700.5   0   9.999  -0.032
    4  3704.0   0   0.078  -0.013
    5  3705.0   0   0.077  -0.011
    6  3706.0   0   0.072  -0.010
    7  3707.0   0   0.074   9.999
    8  3761.5   0  -0.004   0.070
    9  3781.7   0   0.068  -0.004
   10  3782.6   0   0.078  -0.004
   11  3784.6   0   0.073   9.999
   12  3787.6   0   0.093  -0.013
   13  3788.6   0   0.096   9.999
   14  3792.3   0   0.089  -0.028
   15  3804.6   0   0.128  -0.069
   16  3805.6   0   0.131  -0.072
   17  3807.6   0   0.149  -0.078
   18  3808.6   0   0.159  -0.081
   19  3809.6   0   0.161  -0.080
   20  3810.6   0   0.155  -0.071
   21  3811.6   0   0.156  -0.072
   22  3812.6   0   0.166  -0.090
   23  3814.6   0   0.164  -0.091
   24  3818.3   0   9.999  -0.099
   25  3819.3   0   9.999  -0.101
   26  3820.3   0   0.175   9.999
   27  3821.3   0   0.175  -0.106
   28  3823.3   0   0.175  -0.097
   29  3824.3   0   0.175  -0.097
   30  3825.3   0   0.172  -0.096
   31  3826.3   0   0.175  -0.096
   32  3828.3   0   0.176   9.999
   33  3829.2   0   0.176  -0.094
   34  3830.3   0   0.175  -0.096
   35  3831.3   0   0.175  -0.098
   36  3832.3   0   0.172  -0.096
   37  3833.3   0   0.179  -0.096
   38  3836.3   0   0.155  -0.096
   39  3840.6   0   0.172  -0.093
   40  3841.6   0   0.156  -0.077
   41  3844.7   0   0.158  -0.095
   42  3845.7   0   0.167  -0.098
   43  3848.3   0   9.999  -0.075
   44  3849.2   0   9.999  -0.074
   45  3850.2   0   9.999  -0.075
   46  3853.2   0   0.147  -0.063
   47  3932.0   0   9.999   0.038
   48  3933.0   0   9.999   0.039
   49  3953.0   0   0.090  -0.019
   50  3954.0   0   0.090  -0.019
   51  3957.0   0   9.999  -0.028
   52  3958.0   0   0.103  -0.034
   53  3959.0   0   0.103  -0.035
   54  3963.0   0   0.118  -0.051
   55  3964.0   0   0.124  -0.055
   56  3965.0   0   0.137  -0.057
   57  3966.0   0   0.146  -0.066
   58  3967.0   0   0.143  -0.064
   59  3968.0   0   0.141  -0.058
   60  3969.0   0   0.141  -0.061
   61  3970.0   0   9.999  -0.066
   62  3976.9   0   9.999  -0.082
   63  3977.9   0   0.153  -0.091
   64  3979.0   0   0.163  -0.098
   65  3983.0   0   0.155  -0.094
   66  3985.0   0   0.158  -0.107
   67  3985.9   0   0.171  -0.107
   68  3986.5   0   9.999  -0.091
   69  3987.0   0   0.160  -0.092
   70  3988.0   0   0.155  -0.093
   71  3989.0   0   9.999  -0.091
   72  3989.9   0   0.162   9.999
   73  3990.0   0   9.999  -0.092
   74  3990.9   0   9.999  -0.117
